code,state,population,area(sqmi),gdp(m),percapita
AL,Alabama,4903185,52420.07,234054,1.1
AK,Alaska,731545,665384.04,55759,0.3
AZ,Arizona,7278717,113990.3,372522,1.7
AR,Arkansas,3017804,53178.55,135225,0.6
CA,California,39512223,163694.74,3183251,14.6
CO,Colorado,5758736,104093.67,396367,1.8
CT,Connecticut,3565287,5543.41,288985,1.3
DE,Delaware,973764,2488.72,76410,0.4
FL,Florida,21477737,65757.7,1111378,5.1
GA,Georgia,10617423,59425.15,625329,2.9
HI,Hawaii,1415872,10931.72,98536,0.5
ID,Idaho,1787065,83568.95,82265,0.4
IL,Illinois,12671821,57913.55,908913,4.2
IN,Indiana,6732219,36419.55,381733,1.8
IA,Iowa,3155070,56272.81,197172,0.9
KS,Kansas,2913314,82278.36,175703,0.8
KY,Kentucky,4467673,40407.8,217564,1
LA,Louisiana,4648794,52378.13,267051,1.2
ME,Maine,1344212,35379.74,68441,0.3
MD,Maryland,6045680,12405.93,434312,2
MA,Massachusetts,6892503,10554.39,604208,2.8
MI,Michigan,9986857,96713.51,548567,2.5
MN,Minnesota,5639632,86935.83,385907,1.8
MS,Mississippi,2976149,48431.78,120429,0.6
MO,Missouri,6137428,69706.99,336816,1.6
MT,Montana,1068778,147039.71,52948,0.2
NE,Nebraska,1934408,77347.81,129098,0.6
NV,Nevada,3080156,110571.82,180406,0.8
NH,New Hampshire,1359711,9349.16,89836,0.4
NJ,New Jersey,8882190,8722.58,652412,3
NM,New Mexico,2096829,121590.3,105263,0.5
NY,New York,19453561,54554.98,1751674,8.1
NC,North Carolina,10488084,53819.16,596383,2.7
ND,North Dakota,762062,70698.32,57400,0.3
OH,Ohio,11689100,44825.58,706764,3.3
OK,Oklahoma,3956971,69898.87,207381,1
OR,Oregon,4217737,98378.54,255418,1.2
PA,Pennsylvania,12801989,46054.35,824603,3.8
RI,Rhode Island,1059361,1544.89,64441,0.3
SC,South Carolina,5148714,32020.49,249958,1.2
SD,South Dakota,884659,77115.68,54057,0.3
TN,Tennessee,6829174,42144.25,385741,1.8
TX,Texas,28995881,268596.46,1918065,8.8
UT,Utah,3205958,84896.88,192013,0.9
VT,Vermont,623989,9616.36,35271,0.2
VA,Virginia,8535519,42774.93,561846,2.6
WA,Washington,7614893,71297.95,610488,2.8
WV,West Virginia,1792147,24230.04,78507,0.4
WI,Wisconsin,5822434,65496.38,351922,1.6
WY,Wyoming,578759,97813.01,39794,0.2
